SnapshotDate,MetricDate,SubscriptionName,SubscriptionId,ResourceId,DeploymentId,DeploymentName,Application,ModelName,ModelVersion,SkuName,Region,PtuCapacity,MeanUtilizationPct,PeakUtilizationPct,Requests,ServerErrors5xx,Throttles429,MeanLatencyMs
2026-05-10,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-clinical,gpt-5-4-clinical,Clinical Summarisation,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,120.0,69.89,88.21,46087,41,538,1285.06
2026-05-20,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-clinical,gpt-5-4-clinical,Clinical Summarisation,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,120.0,69.89,83.31,41611,78,288,744.5
2026-05-31,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-clinical,gpt-5-4-clinical,Clinical Summarisation,gpt-5.4,2026-04-01,ProvisionedManaged,eastus,120.0,62.6,81.71,46139,83,471,1209.77
2026-05-10,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-mini-triage,gpt-5-4-mini-triage,Clinical Summarisation,gpt-5.4-mini,2026-04-01,ProvisionedManaged,eastus,80.0,50.95,63.74,45988,47,513,678.71
2026-05-20,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-mini-triage,gpt-5-4-mini-triage,Clinical Summarisation,gpt-5.4-mini,2026-04-01,ProvisionedManaged,eastus,80.0,49.32,66.29,42615,25,152,568.55
2026-05-31,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,gpt-5-4-mini-triage,gpt-5-4-mini-triage,Clinical Summarisation,gpt-5.4-mini,2026-04-01,ProvisionedManaged,eastus,80.0,46.14,65.04,37650,56,139,476.21
2026-05-10,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,text-embedding-3-large,text-embedding-3-large,Clinical Summarisation,text-embedding-3-large,1,Standard,eastus,,,,13569,16,14,610.51
2026-05-20,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,text-embedding-3-large,text-embedding-3-large,Clinical Summarisation,text-embedding-3-large,1,Standard,eastus,,,,15492,18,20,533.76
2026-05-31,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,text-embedding-3-large,text-embedding-3-large,Clinical Summarisation,text-embedding-3-large,1,Standard,eastus,,,,15724,32,9,519.57
2026-05-10,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,gpt-5-4-claims,gpt-5-4-claims,Claims Triage,gpt-5.4,2026-04-01,ProvisionedManaged,eastus2,100.0,70.06,88.99,22534,26,208,1347.21
2026-05-20,2026-05-31,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,gpt-5-4-claims,gpt-5-4-claims,Claims Triage,gpt-5.4,2026-04-01,ProvisionedManaged,eastus2,100.0,72.98,91.92,27733,17,246,1569.7
